Entry	Entry Name	Protein names	Gene Names
O60260	PRKN_HUMAN	E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	PRKN PARK2
O60478	G137B_HUMAN	Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1 protein)	GPR137B TM7SF1
O60784	TOM1_HUMAN	Target of Myb1 membrane trafficking protein (Target of Myb protein 1)	TOM1
O75143	ATG13_HUMAN	Autophagy-related protein 13	ATG13 KIAA0652
O75323	NIPS2_HUMAN	Protein NipSnap homolog 2 (NipSnap2) (Glioblastoma-amplified sequence)	NIPSNAP2 GBAS
O75351	VPS4B_HUMAN	Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	VPS4B SKD1 VPS42 MIG1
O75385	ULK1_HUMAN	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	ULK1 KIAA0722
O75629	CREG1_HUMAN	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	CREG1 CREG UNQ727/PRO1409
O75886	STAM2_HUMAN	Signal transducing adapter molecule 2 (STAM-2) (Hrs-binding protein)	STAM2 HBP
O94817	ATG12_HUMAN	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)	ATG12 APG12 APG12L
O94874	UFL1_HUMAN	E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1)	UFL1 KIAA0776 MAXER NLBP RCAD
O94967	WDR47_HUMAN	WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)	WDR47 KIAA0893
O95140	MFN2_HUMAN	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214
O95166	GBRAP_HUMAN	Gamma-aminobutyric acid receptor-associated protein (GABA(A) receptor-associated protein) (MM46)	GABARAP FLC3B HT004
O95210	STBD1_HUMAN	Starch-binding domain-containing protein 1 (Genethonin-1) (Glycophagy cargo receptor STBD1)	STBD1 GENX-3414
O95278	EPM2A_HUMAN	Laforin (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (Glucan phosphatase) (Glycogen phosphatase) (Lafora PTPase) (LAFPTPase)	EPM2A
O95295	SNAPN_HUMAN	SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein) (SNAP-associated protein)	SNAPIN BLOC1S7 SNAP25BP SNAPAP
O95352	ATG7_HUMAN	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein)	ATG7 APG7L
O95721	SNP29_HUMAN	Synaptosomal-associated protein 29 (SNAP-29) (Soluble 29 kDa NSF attachment protein) (Vesicle-membrane fusion protein SNAP-29)	SNAP29
P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7
P04062	GBA1_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Beta-glucosylceramidase 1) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Glucosylceramidase beta 1) (Imiglucerase) (Lysosomal cholesterol glycosyltransferase) (Lysosomal galactosylceramidase) (EC 3.2.1.46) (Lysosomal glycosylceramidase)	GBA1 GBA GC GLUC
P04637	P53_HUMAN	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53
P05109	S10A8_HUMAN	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8
P05198	IF2A_HUMAN	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha)	EIF2S1 EIF2A
P06702	S10A9_HUMAN	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9 CAGB CFAG MRP14
P07339	CATD_HUMAN	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD
P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Heat shock protein family C member 1) (Lipopolysaccharide-associated protein 2) (LAP-2) (LPS-associated protein 2) (Renal carcinoma antigen NY-REN-38)	HSP90AA1 HSP90A HSPC1 HSPCA
P07911	UROM_HUMAN	Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]	UMOD
P07948	LYN_HUMAN	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8
P08476	INHBA_HUMAN	Inhibin beta A chain (Activin beta-A chain) (Erythroid differentiation protein) (EDF)	INHBA
P09429	HMGB1_HUMAN	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1
P09601	HMOX1_HUMAN	Heme oxygenase 1 (HO-1) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 1 soluble form]	HMOX1 HO HO1
P0DP23	CALM1_HUMAN	Calmodulin-1	CALM1 CALM CAM CAM1
P10253	LYAG_HUMAN	Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase) (Aglucosidase alfa) [Cleaved into: 76 kDa lysosomal alpha-glucosidase; 70 kDa lysosomal alpha-glucosidase]	GAA
P10415	BCL2_HUMAN	Apoptosis regulator Bcl-2	BCL2
P10909	CLUS_HUMAN	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain) (SP-40,40 beta-chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain) (SP-40,40 alpha-chain)]	CLU APOJ CLI KUB1 AAG4
P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10
P12109	CO6A1_HUMAN	Collagen alpha-1(VI) chain	COL6A1
P12931	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1
P13473	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2
P14416	DRD2_HUMAN	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2
P15848	ARSB_HUMAN	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	ARSB
P16144	ITB4_HUMAN	Integrin beta-4 (GP150) (CD antigen CD104)	ITGB4
P16615	AT2A2_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	ATP2A2 ATP2B
P17861	XBP1_HUMAN	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5) (TREB-5) [Cleaved into: X-box-binding protein 1, cytoplasmic form; X-box-binding protein 1, luminal form]	XBP1 TREB5 XBP2
P19484	TFEB_HUMAN	Transcription factor EB (Class E basic helix-loop-helix protein 35) (bHLHe35)	TFEB BHLHE35
P20073	ANXA7_HUMAN	Annexin A7 (Annexin VII) (Annexin-7) (Synexin)	ANXA7 ANX7 SNX OK/SW-cl.95
P27361	MK03_HUMAN	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3
P28328	PEX2_HUMAN	Peroxisome biogenesis factor 2 (EC 2.3.2.27) (EC 2.3.2.36) (35 kDa peroxisomal membrane protein) (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1) (RING finger protein 72)	PEX2 PAF1 PMP3 PMP35 PXMP3 RNF72
P42338	PK3CB_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta) (Serine/threonine protein kinase PIK3CB) (EC 2.7.11.1)	PIK3CB PIK3C1
P42345	MTOR_HUMAN	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) (EC 2.7.10.2)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1
P42704	LPPRC_HUMAN	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	LRPPRC LRP130
P43235	CATK_HUMAN	Cathepsin K (EC 3.4.22.38) (Cathepsin O) (Cathepsin O2) (Cathepsin X)	CTSK CTSO CTSO2
P48426	PI42A_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIP5KIII) (Phosphatidylinositol 5-Phosphate 4-Kinase) (PI5P4Kalpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(4)P-5-kinase B isoform) (PtdIns(4)P-5-kinase C isoform) (PtdIns(5)P-4-kinase isoform 2-alpha)	PIP4K2A PI5P4KA PIP5K2 PIP5K2A
P49754	VPS41_HUMAN	Vacuolar protein sorting-associated protein 41 homolog (S53)	VPS41
P49768	PSN1_HUMAN	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	PSEN1 AD3 PS1 PSNL1
P49795	RGS19_HUMAN	Regulator of G-protein signaling 19 (RGS19) (G-alpha-interacting protein) (GAIP)	RGS19 GAIP GNAI3IP
P50542	PEX5_HUMAN	Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1)	PEX5 PXR1
P50570	DYN2_HUMAN	Dynamin-2 (EC 3.6.5.5) (Dynamin 2) (Dynamin II)	DNM2 DYN2
P50851	LRBA_HUMAN	Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein)	LRBA BGL CDC4L LBA
P51149	RAB7A_HUMAN	Ras-related protein Rab-7a (EC 3.6.5.2)	RAB7A RAB7
P51397	DAP1_HUMAN	Death-associated protein 1 (DAP-1)	DAP DAP1
P53365	ARFP2_HUMAN	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1) (POR1)	ARFIP2 POR1
P54257	HAP1_HUMAN	Huntingtin-associated protein 1 (HAP-1) (Neuroan 1)	HAP1 HAP2 HLP1
P54646	AAPK2_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2
P54802	ANAG_HUMAN	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form]	NAGLU UFHSD1
P55061	BI1_HUMAN	Bax inhibitor 1 (BI-1) (Testis-enhanced gene transcript protein) (Transmembrane BAX inhibitor motif-containing protein 6)	TMBIM6 BI1 TEGT
P55072	TERA_HUMAN	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP HEL-220 HEL-S-70
P56962	STX17_HUMAN	Syntaxin-17	STX17
P60520	GBRL2_HUMAN	Gamma-aminobutyric acid receptor-associated protein-like 2 (GABA(A) receptor-associated protein-like 2) (Ganglioside expression factor 2) (GEF-2) (General protein transport factor p16) (Golgi-associated ATPase enhancer of 16 kDa) (GATE-16) (MAP1 light chain 3-related protein)	GABARAPL2 FLC3A GEF2
P61006	RAB8A_HUMAN	Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel)	RAB8A MEL RAB8
P61019	RAB2A_HUMAN	Ras-related protein Rab-2A (EC 3.6.5.2)	RAB2A RAB2
P61960	UFM1_HUMAN	Ubiquitin-fold modifier 1	UFM1 C13orf20 BM-002
P62820	RAB1A_HUMAN	Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	RAB1A RAB1
P68543	UBX2A_HUMAN	UBX domain-containing protein 2A (UBX domain-containing protein 4)	UBXN2A UBXD4
P78356	PI42B_HUMAN	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-beta) (Diphosphoinositide kinase 2-beta) (Phosphatidylinositol 5-phosphate 4-kinase type II beta) (PI(5)P 4-kinase type II beta) (PIP4KII-beta) (PtdIns(5)P-4-kinase isoform 2-beta)	PIP4K2B PIP5K2B
P78539	SRPX_HUMAN	Sushi repeat-containing protein SRPX	SRPX ETX1
Q00610	CLH1_HUMAN	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	CLTC CLH17 CLTCL2 KIAA0034
Q02556	IRF8_HUMAN	Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP)	IRF8 ICSBP1
Q0ZLH3	PJVK_HUMAN	Pejvakin (Autosomal recessive deafness type 59 protein)	PJVK DFNB59
Q12778	FOXO1_HUMAN	Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)	FOXO1 FKHR FOXO1A
Q12983	BNIP3_HUMAN	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	BNIP3 NIP3
Q13049	TRI32_HUMAN	E3 ubiquitin-protein ligase TRIM32 (EC 2.3.2.27) (72 kDa Tat-interacting protein) (RING-type E3 ubiquitin transferase TRIM32) (Tripartite motif-containing protein 32) (Zinc finger protein HT2A)	TRIM32 HT2A
Q13131	AAPK1_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1
Q13137	CACO2_HUMAN	Calcium-binding and coiled-coil domain-containing protein 2 (Antigen nuclear dot 52 kDa protein) (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52) (Nuclear dot protein 52)	CALCOCO2 NDP52
Q13286	CLN3_HUMAN	Battenin (Batten disease protein) (Protein CLN3)	CLN3 BTS
Q13315	ATM_HUMAN	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM
Q13488	VPP3_HUMAN	V-type proton ATPase 116 kDa subunit a 3 (V-ATPase 116 kDa subunit a 3) (Osteoclastic proton pump 116 kDa subunit) (OC-116 kDa) (OC116) (T-cell immune regulator 1) (T-cell immune response cDNA7 protein) (TIRC7) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 3)	TCIRG1 ATP6N1C ATP6V0A3
Q13496	MTM1_HUMAN	Myotubularin (EC 3.1.3.95) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase)	MTM1 CG2
Q13501	SQSTM_HUMAN	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62) (p62)	SQSTM1 ORCA OSIL
Q13615	MTMR3_HUMAN	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR3 (EC 3.1.3.95) (FYVE domain-containing dual specificity protein phosphatase 1) (FYVE-DSP1) (Myotubularin-related protein 3) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase) (Zinc finger FYVE domain-containing protein 10)	MTMR3 KIAA0371 ZFYVE10
Q14088	RB33A_HUMAN	Ras-related protein Rab-33A (Small GTP-binding protein S10)	RAB33A RABS10
Q14457	BECN1_HUMAN	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	BECN1 GT197
Q14596	NBR1_HUMAN	Next to BRCA1 gene 1 protein (Cell migration-inducing gene 19 protein) (Membrane component chromosome 17 surface marker 2) (Neighbor of BRCA1 gene 1 protein) (Protein 1A1-3B)	NBR1 1A13B KIAA0049 M17S2 MIG19
Q14694	UBP10_HUMAN	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10 KIAA0190
Q14964	RB39A_HUMAN	Ras-related protein Rab-39A (Rab-39)	RAB39A RAB39
Q14CS0	UBX2B_HUMAN	UBX domain-containing protein 2B (NSFL1 cofactor p37) (p97 cofactor p37)	UBXN2B
Q15751	HERC1_HUMAN	Probable E3 ubiquitin-protein ligase HERC1 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 1) (HECT-type E3 ubiquitin transferase HERC1) (p532) (p619)	HERC1
Q15831	STK11_HUMAN	Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)	STK11 LKB1 PJS
Q16635	TAZ_HUMAN	Tafazzin (Taz) (EC 2.3.1.-) (Protein G4.5)	TAFAZZIN EFE2 G4.5 TAZ
Q16666	IF16_HUMAN	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1
Q2KHT3	CL16A_HUMAN	Protein CLEC16A (C-type lectin domain family 16 member A)	CLEC16A KIAA0350
Q2TAZ0	ATG2A_HUMAN	Autophagy-related protein 2 homolog A	ATG2A KIAA0404
Q3MII6	TBC25_HUMAN	TBC1 domain family member 25	TBC1D25 OATL1
Q562E7	WDR81_HUMAN	WD repeat-containing protein 81	WDR81
Q5BJD5	TM41B_HUMAN	Transmembrane protein 41B (Protein stasimon)	TMEM41B KIAA0033
Q5MNZ6	WIPI3_HUMAN	WD repeat domain phosphoinositide-interacting protein 3 (WIPI-3) (WD repeat-containing protein 45-like) (WDR45-like protein) (WD repeat-containing protein 45B) (WIPI49-like protein)	WDR45B WDR45L WIPI3
Q5MNZ9	WIPI1_HUMAN	WD repeat domain phosphoinositide-interacting protein 1 (WIPI-1) (Atg18 protein homolog) (WD40 repeat protein interacting with phosphoinositides of 49 kDa) (WIPI 49 kDa)	WIPI1 WIPI49
Q5S007	LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin)	LRRK2 PARK8
Q5T0N5	FBP1L_HUMAN	Formin-binding protein 1-like (Transducer of Cdc42-dependent actin assembly protein 1) (Toca-1)	FNBP1L C1orf39 TOCA1
Q5T8D3	ACBD5_HUMAN	Acyl-CoA-binding domain-containing protein 5	ACBD5 KIAA1996
Q5VVQ6	OTU1_HUMAN	Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (DUBA-8) (HIV-1-induced protease 7) (HIN-7) (HsHIN7) (OTU domain-containing protein 2)	YOD1 DUBA8 HIN7 OTUD2 PRO0907
Q5VWJ9	SNX30_HUMAN	Sorting nexin-30	SNX30
Q5W041	ARMC3_HUMAN	Armadillo repeat-containing protein 3 (Beta-catenin-like protein) (Cancer/testis antigen 81) (CT81) (KU-CT-1)	ARMC3
Q63HN8	RN213_HUMAN	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (ALK lymphoma oligomerization partner on chromosome 17) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213)	RNF213 ALO17 C17orf27 KIAA1554 KIAA1618 MYSTR
Q66K74	MAP1S_HUMAN	Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1) (VCY2-interacting protein 1) (VCY2IP-1) [Cleaved into: MAP1S heavy chain; MAP1S light chain]	MAP1S BPY2IP1 C19orf5 MAP8 VCY2IP1
Q674R7	ATG9B_HUMAN	Autophagy-related protein 9B (APG9-like 2) (Nitric oxide synthase 3-overlapping antisense gene protein) (Protein sONE)	ATG9B APG9L2 NOS3AS
Q676U5	A16L1_HUMAN	Autophagy-related protein 16-1 (APG16-like 1)	ATG16L1 APG16L UNQ9393/PRO34307
Q68DK2	ZFY26_HUMAN	Zinc finger FYVE domain-containing protein 26 (FYVE domain-containing centrosomal protein) (FYVE-CENT) (Spastizin)	ZFYVE26 KIAA0321
Q6IQ22	RAB12_HUMAN	Ras-related protein Rab-12	RAB12
Q6PHR2	ULK3_HUMAN	Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)	ULK3
Q6UWE0	LRSM1_HUMAN	E3 ubiquitin-protein ligase LRSAM1 (EC 2.3.2.27) (Leucine-rich repeat and sterile alpha motif-containing protein 1) (RING-type E3 ubiquitin transferase LRSAM1) (Tsg101-associated ligase) (hTAL)	LRSAM1 TAL UNQ6496/PRO21356
Q6UX65	DRAM2_HUMAN	DNA damage-regulated autophagy modulator protein 2 (Transmembrane protein 77)	DRAM2 TMEM77 PSEC0031 UNQ154/PRO180
Q6UXG2	ELAP1_HUMAN	Endosome/lysosome-associated apoptosis and autophagy regulator 1 (Estrogen-induced gene 121 protein)	ELAPOR1 EIG121 KIAA1324 UNQ2426/PRO4985
Q6VVB1	NHLC1_HUMAN	E3 ubiquitin-protein ligase NHLRC1 (EC 2.3.2.27) (Malin) (NHL repeat-containing protein 1) (RING-type E3 ubiquitin transferase NHLRC1)	NHLRC1 EPM2B
Q6ZNE5	BAKOR_HUMAN	Beclin 1-associated autophagy-related key regulator (Barkor) (Autophagy-related protein 14-like protein) (Atg14L)	ATG14 ATG14L KIAA0831
Q6ZNE9	RUFY4_HUMAN	RUN and FYVE domain-containing protein 4	RUFY4
